STATION,NAME,DATE,AWND,PGTM,PRCP,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT08
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",01-01-2016,2.46,,0,,64,43,10,30,8.1,11,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",02-01-2016,2.01,,0,,65,47,270,30,6,8.9,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",03-01-2016,0.67,,0,,62,44,150,150,10.1,14.1,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",04-01-2016,1.34,,0.01,,69,55,270,280,8.1,14.1,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",05-01-2016,2.46,,1.61,,59,49,140,140,10.1,16.1,1,1,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",06-01-2016,2.91,,0.8,,58,46,80,290,12.1,17,1,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",07-01-2016,1.79,,0.3,,59,45,20,10,10.1,18.1,1,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",08-01-2016,2.24,,0,,62,44,280,340,8.1,16.1,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",09-01-2016,1.12,,0,,60,46,90,100,6,10.1,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",10-01-2016,1.12,,0,,62,51,270,270,6.9,10.1,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",11-01-2016,0.22,,0,,64,47,260,280,6.9,12.1,1,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",12-01-2016,1.57,,0,,70,46,270,270,10.1,16.1,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",13-01-2016,0.22,,0,,66,43,280,270,6.9,11,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",14-01-2016,1.57,,0,,65,50,270,280,8.1,13,1,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",15-01-2016,1.12,,0,,65,50,270,120,6,8.9,1,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",16-01-2016,1.12,,0,,67,54,280,270,8.1,11,1,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",17-01-2016,1.12,,0,,68,49,270,270,8.9,15,1,1,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",18-01-2016,1.34,,0,,63,55,270,270,6.9,12.1,1,1,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",19-01-2016,0.89,,0.01,,64,54,270,280,6.9,12.1,1,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",20-01-2016,1.12,,0.01,,69,54,270,270,6,11,1,1,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",21-01-2016,1.12,,0,,77,50,280,280,8.1,11,1,1,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",22-01-2016,1.12,,0,,71,50,270,270,6,10.1,1,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",23-01-2016,1.12,,0,,64,54,350,360,8.9,15,1,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",24-01-2016,1.12,,0,,66,47,270,270,8.1,14.1,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",25-01-2016,0.67,,0,,71,50,270,280,8.1,13,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",26-01-2016,1.34,,0,,73,47,280,270,8.1,14.1,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",27-01-2016,1.57,,0,,73,52,280,270,6.9,12.1,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",28-01-2016,0.67,,0,,74,50,270,280,8.9,14.1,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",29-01-2016,0.89,,0,,72,50,100,270,6.9,14.1,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",30-01-2016,0.89,,0,,66,55,150,110,6.9,8.9,1,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",31-01-2016,4.47,,0.43,,59,50,270,280,16.1,32,1,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",01-02-2016,6.04,,0,,58,43,320,340,16.1,32,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",02-02-2016,1.12,,0,,62,41,280,260,8.1,15,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",03-02-2016,1.12,,0,,65,43,270,280,8.1,14.1,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",04-02-2016,0.89,,0,,70,46,270,280,6.9,13,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",05-02-2016,0.89,,0,,76,46,90,260,6,8.9,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",06-02-2016,0.89,,0,,77,50,270,270,8.1,12.1,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",07-02-2016,1.12,,0,,84,51,270,270,6.9,10.1,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",08-02-2016,0.67,,0,,88,53,100,110,6.9,10.1,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",09-02-2016,0.67,,0,,89,56,280,250,8.1,11,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",10-02-2016,1.57,,0,,88,61,270,270,8.1,12.1,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",11-02-2016,2.24,,0,,87,59,280,270,6.9,10.1,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",12-02-2016,0.67,,0,,85,56,280,270,8.1,12.1,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",13-02-2016,1.12,,0,,75,51,270,260,8.1,11,1,1,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",14-02-2016,0.22,,0,,79,48,270,260,6.9,10.1,1,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",15-02-2016,0.89,,0,,89,55,270,270,8.1,13,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",16-02-2016,1.79,,0,,90,58,280,280,8.9,15,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",17-02-2016,2.46,,0.58,,76,55,90,90,12.1,18.1,1,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",18-02-2016,2.24,,0.21,,68,56,270,280,8.9,13,1,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",19-02-2016,0.67,,0,,69,51,270,280,8.1,13,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",20-02-2016,1.34,,0,,72,50,270,270,8.1,12.1,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",21-02-2016,0.22,,0,,73,50,280,280,8.1,13,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",22-02-2016,1.57,,0,,78,51,270,270,8.1,14.1,1,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",23-02-2016,2.01,,0,,83,55,270,270,8.1,13,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",24-02-2016,2.01,,0,,81,58,280,270,8.1,13,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",25-02-2016,2.01,,0,,83,57,280,280,8.9,14.1,,,1
